 ,Full Name,Gender,Age,State,Job Classification,Date Joined,Balance,Marital Status,education,House Loan,Other Loan,contact,Previous Outcome,Loan Default,Customer Code
1,Christy Olson,Male,21.0,California,White Collar,2017-01-05,169864.42,married,primary,no,no,cellular,unknown,no,A01
2,Dan Peterson,Female,34.0,Oregon,Blue Collar,2017-01-06,55102.6,married,secondary,yes,yes,cellular,failure,no,A02
3,Mable Lindsey,Male,46.0,California,White Collar,2017-01-07,151546.03,single,secondary,yes,no,cellular,failure,no,A03
4,Kyle Carr,Male,32.0,Wyoming,White Collar,2017-01-08,2120.19,married,tertiary,yes,no,unknown,unknown,no,A04
5,Rachel Gomez,Female,38.0,California,Blue Collar,2017-01-09,53192.24,married,secondary,yes,no,unknown,unknown,no,A05
6,Isabel Cross,Female,30.0,Wyoming,Blue Collar,2017-01-09,182750.42,single,secondary,no,no,cellular,failure,no,A06
7,Billie Chandler,Female,34.0,California,Blue Collar,2017-01-11,63998.28,married,tertiary,yes,no,cellular,other,no,A07
8,Sylvester Morales,Female,48.0,Nevada,Other,2017-01-11,54745.04,married,secondary,yes,no,cellular,unknown,no,A08
9,Rachel Gomez,Female,33.0,Wyoming,White Collar,2017-01-11,110870.69,married,tertiary,yes,no,unknown,unknown,no,A09
10,Beth Tucker,Male,42.0,California,White Collar,2017-01-12,16285.76,married,primary,yes,yes,cellular,failure,no,A010
11,Shari Silva,Male,40.0,California,White Collar,2017-01-12,59204.24,married,secondary,yes,no,unknown,unknown,no,A011
12,Drew Rogers,Male,39.0,California,White Collar,2017-01-12,48180.04,married,secondary,yes,no,cellular,unknown,no,A012
13,Arturo Francis,Male,24.0,California,White Collar,2017-01-12,60866.63,married,tertiary,no,no,cellular,unknown,no,A013
14,Mable Lindsey,Male,46.0,Nevada,Other,2017-01-12,72821.6,single,secondary,no,no,cellular,unknown,yes,A014
15,Shari Silva,Female,36.0,Wyoming,Other,2017-01-12,4246.33,married,secondary,yes,yes,cellular,failure,no,A015
16,Rachel Gomez,Male,42.0,California,White Collar,2017-01-14,3158.0,married,tertiary,no,yes,cellular,unknown,no,A016
17,Jenny Garcia,Female,31.0,Nevada,Other,2017-01-14,15455.7,married,secondary,no,no,cellular,unknown,no,A017
18,Colleen Warren,Female,42.0,Nevada,Other,2017-01-14,5672.69,single,tertiary,yes,no,cellular,failure,no,A018
19,Pauline Beck,Male,40.0,California,Blue Collar,2017-01-15,97811.49,single,primary,yes,no,unknown,unknown,no,A019
20,Shari Silva,Female,46.0,California,Blue Collar,2017-01-15,17106.94,married,secondary,no,no,cellular,other,no,A020
21,Jenny Garcia,Male,37.0,Wyoming,Other,2017-01-16,47429.72,divorced,unknown,yes,no,cellular,unknown,no,A021
22,Ben Perez,Male,58.0,Nevada,Blue Collar,2017-01-18,31719.37,divorced,tertiary,no,no,cellular,unknown,no,A022
23,Cassandra Franklin,Female,41.0,Wyoming,White Collar,2017-01-18,99678.79,single,secondary,no,no,unknown,unknown,no,A023
24,Elaine Ellis,Male,52.0,Nevada,Blue Collar,2017-01-19,9820.63,married,secondary,no,no,cellular,unknown,no,A024
25,Beth Tucker,Female,38.0,California,White Collar,2017-01-20,30603.48,married,tertiary,no,no,cellular,unknown,no,A025
26,Cassandra Franklin,Male,55.0,Nevada,Blue Collar,2017-01-21,64549.66,married,tertiary,no,no,cellular,unknown,no,A026
